id,name,code
1,Oshana,R1
2,Otjozondjupa,R2
3,Khomas,R3
4,Erongo,R4
5,Oshikoto,R5
6,Ohangwena,R6
7,Omusati,R7
8,Kavango East,R8
9,Zambezi,R9
10,Kunene,R10
11,Kavango West,R11
12,Hardap,R12
13,Karas,R13
14,Omaheke,R14
